channel,n_rows,total,average,maximum,minimum,median,standardDeviation,variance,kurtosis,skewness
FP1-F7,2000,2,60,85,95,40,51,47,75,81
F7-T7,2000,3,55,91,95,34,54,50,75,86
T7-P7,2000,2,59,88,93,38,55,52,67,75
P7-O1,2000,1,47,85,93,33,66,64,79,74
FP1-F3,2000,5,56,82,95,28,57,53,88,69
F3-C3,2000,8,58,89,95,42,55,50,70,87
C3-P3,2000,2,51,85,95,24,58,53,88,64
P3-O1,2000,2,39,91,92,18,75,74,93,71
FP2-F4,2000,15,57,91,95,38,70,66,73,89
F4-C4,2000,10,58,90,94,39,62,59,79,82
C4-P4,2000,1,50,89,95,36,49,44,68,79
P4-O2,2000,13,49,86,94,39,63,66,79,74
FP2-F8,2000,1,56,84,95,37,52,49,68,89
F8-T8,2000,7,54,93,95,40,61,53,69,85
T8-P8,2000,15,55,93,94,41,84,82,92,77
P8-O2,2000,3,45,88,95,19,76,73,87,79
FZ-CZ,2000,25,62,80,93,44,55,52,71,81
CZ-PZ,2000,25,57,90,94,44,58,56,77,82
T7-FT9,1970,1,62,88,93,16,15,12,45,95
FT9-FT10,1970,2,45,93,95,13,46,42,69,87
FT10-T8,1970,1,35,87,95,16,70,62,80,58
