config,scheme,fold,merge_gap,min_duration,criterion,rule,n_subjects,n_met,pct_met
Full-18,5fold,0,0,0,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,0,0,medication_titration,ali,3,0,0.0
Full-18,5fold,0,0,0,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,0,0,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,0,1,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,0,1,medication_titration,ali,3,0,0.0
Full-18,5fold,0,0,1,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,0,1,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,0,2,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,0,2,medication_titration,ali,3,0,0.0
Full-18,5fold,0,0,2,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,0,2,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,4,0,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,4,0,medication_titration,ali,3,0,0.0
Full-18,5fold,0,4,0,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,4,0,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,4,1,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,4,1,medication_titration,ali,3,0,0.0
Full-18,5fold,0,4,1,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,4,1,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,4,2,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,4,2,medication_titration,ali,3,0,0.0
Full-18,5fold,0,4,2,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,4,2,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,8,0,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,8,0,medication_titration,ali,3,0,0.0
Full-18,5fold,0,8,0,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,8,0,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,8,1,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,8,1,medication_titration,ali,3,0,0.0
Full-18,5fold,0,8,1,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,8,1,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,8,2,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,8,2,medication_titration,ali,3,0,0.0
Full-18,5fold,0,8,2,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,8,2,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,12,0,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,12,0,medication_titration,ali,3,0,0.0
Full-18,5fold,0,12,0,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,12,0,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,12,1,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,12,1,medication_titration,ali,3,0,0.0
Full-18,5fold,0,12,1,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,12,1,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,12,2,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,12,2,medication_titration,ali,3,0,0.0
Full-18,5fold,0,12,2,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,12,2,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,16,0,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,16,0,medication_titration,ali,3,0,0.0
Full-18,5fold,0,16,0,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,16,0,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,16,1,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,16,1,medication_titration,ali,3,0,0.0
Full-18,5fold,0,16,1,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,16,1,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,16,2,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,16,2,medication_titration,ali,3,0,0.0
Full-18,5fold,0,16,2,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,16,2,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,20,0,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,20,0,medication_titration,ali,3,0,0.0
Full-18,5fold,0,20,0,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,20,0,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,20,1,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,20,1,medication_titration,ali,3,0,0.0
Full-18,5fold,0,20,1,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,20,1,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,20,2,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,20,2,medication_titration,ali,3,0,0.0
Full-18,5fold,0,20,2,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,20,2,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,30,0,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,30,0,medication_titration,ali,3,0,0.0
Full-18,5fold,0,30,0,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,30,0,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,30,1,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,30,1,medication_titration,ali,3,0,0.0
Full-18,5fold,0,30,1,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,30,1,realtime_alert,ali,3,0,0.0
Full-18,5fold,0,30,2,medication_titration,szcore,3,0,0.0
Full-18,5fold,0,30,2,medication_titration,ali,3,0,0.0
Full-18,5fold,0,30,2,realtime_alert,szcore,3,0,0.0
Full-18,5fold,0,30,2,realtime_alert,ali,3,0,0.0
Full-18,loo,chb02,0,0,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,0,0,medication_titration,ali,1,0,0.0
Full-18,loo,chb02,0,0,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,0,0,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,0,1,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,0,1,medication_titration,ali,1,0,0.0
Full-18,loo,chb02,0,1,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,0,1,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,0,2,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,0,2,medication_titration,ali,1,0,0.0
Full-18,loo,chb02,0,2,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,0,2,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,4,0,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,4,0,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,4,0,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,4,0,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,4,1,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,4,1,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,4,1,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,4,1,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,4,2,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,4,2,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,4,2,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,4,2,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,8,0,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,8,0,medication_titration,ali,1,0,0.0
Full-18,loo,chb02,8,0,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,8,0,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,8,1,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,8,1,medication_titration,ali,1,0,0.0
Full-18,loo,chb02,8,1,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,8,1,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,8,2,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,8,2,medication_titration,ali,1,0,0.0
Full-18,loo,chb02,8,2,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,8,2,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,12,0,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,12,0,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,12,0,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,12,0,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,12,1,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,12,1,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,12,1,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,12,1,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,12,2,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,12,2,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,12,2,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,12,2,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,16,0,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,16,0,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,16,0,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,16,0,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,16,1,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,16,1,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,16,1,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,16,1,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,16,2,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,16,2,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,16,2,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,16,2,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,20,0,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,20,0,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,20,0,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,20,0,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,20,1,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,20,1,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,20,1,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,20,1,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,20,2,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,20,2,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,20,2,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,20,2,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,30,0,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,30,0,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,30,0,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,30,0,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,30,1,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,30,1,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,30,1,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,30,1,realtime_alert,ali,1,0,0.0
Full-18,loo,chb02,30,2,medication_titration,szcore,1,1,100.0
Full-18,loo,chb02,30,2,medication_titration,ali,1,1,100.0
Full-18,loo,chb02,30,2,realtime_alert,szcore,1,0,0.0
Full-18,loo,chb02,30,2,realtime_alert,ali,1,0,0.0
Glass-7,5fold,0,0,0,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,0,0,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,0,0,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,0,0,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,0,1,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,0,1,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,0,1,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,0,1,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,0,2,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,0,2,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,0,2,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,0,2,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,4,0,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,4,0,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,4,0,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,4,0,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,4,1,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,4,1,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,4,1,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,4,1,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,4,2,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,4,2,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,4,2,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,4,2,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,8,0,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,8,0,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,8,0,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,8,0,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,8,1,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,8,1,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,8,1,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,8,1,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,8,2,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,8,2,medication_titration,ali,3,0,0.0
Glass-7,5fold,0,8,2,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,8,2,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,12,0,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,12,0,medication_titration,ali,3,1,33.333333333333336
Glass-7,5fold,0,12,0,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,12,0,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,12,1,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,12,1,medication_titration,ali,3,1,33.333333333333336
Glass-7,5fold,0,12,1,realtime_alert,szcore,3,0,0.0
Glass-7,5fold,0,12,1,realtime_alert,ali,3,0,0.0
Glass-7,5fold,0,12,2,medication_titration,szcore,3,0,0.0
Glass-7,5fold,0,12,2,medication_titration,ali,3,1,33.333333333333336
Glass-7,5fold,0,12,2,realtime_alert,szcore,3,0,0.0
