config,model,scheme,fold,criterion,rule,test_recorded_hours,threshold,tuning_sens,tuning_fa,criterion_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Full-18,rf,5fold,0,medication_titration,szcore,75.74777777777778,0.74,0.225,4.928345592629212,False,0.0,0.0,0.0,0.0,36.0,False
Full-18,rf,5fold,0,medication_titration,ali,75.74777777777778,0.61,0.125,4.576320907441411,False,0.0,0.0,0.0,0.0,36.0,False
Full-18,rf,5fold,0,realtime_alert,szcore,75.74777777777778,0.83,0.175,1.994806549397538,False,0.0,0.0,0.0,0.0,36.0,False
Full-18,rf,5fold,0,realtime_alert,ali,75.74777777777778,0.74,0.125,1.877464987668271,False,0.0,0.0,0.0,0.0,36.0,False
Full-18,rf,5fold,1,medication_titration,szcore,204.5311111111111,0.98,0.08108108108108109,4.304197446517785,False,0.1,0.35202468518780083,4.0,3.0,40.0,False
Full-18,rf,5fold,1,medication_titration,ali,204.5311111111111,0.95,0.0,3.689312097015244,False,0.05,0.23468312345853387,2.0,2.0,40.0,False
Full-18,rf,5fold,1,realtime_alert,szcore,204.5311111111111,0.99,0.08108108108108109,1.844656048507622,False,0.1,0.23468312345853387,4.0,2.0,40.0,False
Full-18,rf,5fold,1,realtime_alert,ali,204.5311111111111,0.96,0.0,1.9215167171954397,False,0.05,0.23468312345853387,2.0,2.0,40.0,False
Full-18,rf,5fold,2,medication_titration,szcore,312.25333333333333,0.98,0.4,4.662146720499733,False,0.02702702702702703,1.844656048507622,1.0,24.0,37.0,False
Full-18,rf,5fold,2,medication_titration,ali,312.25333333333333,0.95,0.02857142857142857,4.799268682867372,False,0.0,1.306631367692899,0.0,17.0,37.0,False
Full-18,rf,5fold,2,realtime_alert,szcore,312.25333333333333,,,,False,,,,,,False
Full-18,rf,5fold,2,realtime_alert,ali,312.25333333333333,0.99,0.0,0.5484878494705568,False,0.0,0.0,0.0,0.0,37.0,False
Full-18,rf,5fold,3,medication_titration,szcore,175.02666666666667,0.74,0.4,4.737317024263084,False,0.45714285714285713,24.544831263807417,16.0,179.0,35.0,False
Full-18,rf,5fold,3,medication_titration,ali,175.02666666666667,0.61,0.0,4.331261279326248,False,0.4,18.64858688199893,14.0,136.0,35.0,False
Full-18,rf,5fold,3,realtime_alert,szcore,175.02666666666667,0.85,0.34285714285714286,1.7595748947262884,False,0.42857142857142855,10.147025215205302,15.0,74.0,35.0,False
Full-18,rf,5fold,3,realtime_alert,ali,175.02666666666667,0.71,0.0,1.8949268097052336,False,0.34285714285714286,7.130342043117238,12.0,52.0,35.0,False
Full-18,rf,5fold,4,medication_titration,szcore,177.31555555555556,0.51,0.0,4.435773693397679,False,0.45714285714285713,18.137156607178664,16.0,134.0,35.0,False
Full-18,rf,5fold,4,medication_titration,ali,177.31555555555556,0.33,0.0,3.8020917371980105,False,0.14285714285714285,24.498696611189093,5.0,181.0,35.0,False
Full-18,rf,5fold,4,realtime_alert,szcore,177.31555555555556,0.63,0.0,1.9010458685990053,False,0.34285714285714286,10.692801283336676,12.0,79.0,35.0,False
Full-18,rf,5fold,4,realtime_alert,ali,177.31555555555556,0.36,0.0,1.584204890499171,False,0.02857142857142857,20.57349107679968,1.0,152.0,35.0,False
Full-18,rf,loo,chb16,medication_titration,szcore,19.0,0.78,0.6190476190476191,4.844164045301905,True,0.0,5.052631578947369,0.0,4.0,10.0,False
