config,model,scheme,fold,criterion,rule,test_recorded_hours,t_star,percentile_flagged,threshold_test,tuning_sens,tuning_fa,ceiling_met_on_tuning,test_sens,test_fa,test_tp,test_fp,test_ref_true,criterion_met_on_test
Full-18,rf,5fold,0,medication_titration,szcore,75.74777777777778,0.74,0.001260335292647682,0.4,0.225,4.928345592629212,True,0.25,9.822070321094861,9,31,36,False
Full-18,rf,5fold,0,medication_titration,ali,75.74777777777778,0.61,0.002732537293973207,0.33,0.125,4.576320907441411,True,0.0,6.653660540096519,0,21,36,False
Full-18,rf,5fold,0,realtime_alert,szcore,75.74777777777778,0.83,0.0007007898825497886,0.44666666666666666,0.175,1.994806549397538,True,0.1388888888888889,6.01997858389685,5,19,36,False
Full-18,rf,5fold,0,realtime_alert,ali,75.74777777777778,0.74,0.001260335292647682,0.4,0.125,1.877464987668271,True,0.0,3.8020917371980105,0,12,36,False
Full-18,rf,5fold,1,medication_titration,szcore,204.5311111111111,0.98,0.0002597605932504946,0.97,0.08108108108108109,4.304197446517785,True,0.125,0.35202468518780083,5,3,40,False
Full-18,rf,5fold,1,medication_titration,ali,204.5311111111111,0.95,0.0024979717323540714,0.7833333333333333,0.0,3.689312097015244,True,0.1,4.928345592629212,4,42,40,False
Full-18,rf,5fold,1,realtime_alert,szcore,204.5311111111111,0.99,0.00011030929302418264,1.0,0.08108108108108109,1.844656048507622,True,0.1,0.0,4,0,40,False
Full-18,rf,5fold,1,realtime_alert,ali,204.5311111111111,0.96,0.001565680288085173,0.81,0.0,1.9215167171954397,True,0.1,2.229489672856072,4,19,40,False
Full-18,rf,5fold,2,medication_titration,szcore,312.25333333333333,0.98,0.0005967344658591707,0.95,0.4,4.662146720499733,True,0.24324324324324326,7.839788206157394,9,102,37,False
Full-18,rf,5fold,2,medication_titration,ali,312.25333333333333,0.95,0.001688631573601483,0.92,0.02857142857142857,4.799268682867372,True,0.02702702702702703,2.766984072761433,1,36,37,False
Full-18,rf,5fold,2,realtime_alert,szcore,312.25333333333333,0.99,0.0002475813209415708,0.9666666666666667,0.2571428571428571,2.056829435514588,False,0.08108108108108109,3.6124514283274265,3,47,37,False
Full-18,rf,5fold,2,realtime_alert,ali,312.25333333333333,0.99,0.0002475813209415708,0.9666666666666667,0.0,0.5484878494705568,True,0.0,0.23058200606345275,0,3,37,False
Full-18,rf,5fold,3,medication_titration,szcore,175.02666666666667,0.74,0.0009148786845799078,0.9133333333333333,0.4,4.737317024263084,True,0.37142857142857144,3.290927096823341,13,24,35,False
Full-18,rf,5fold,3,medication_titration,ali,175.02666666666667,0.61,0.0022746641267294967,0.8066666666666666,0.0,4.331261279326248,True,0.22857142857142856,3.290927096823341,8,24,35,False
Full-18,rf,5fold,3,realtime_alert,szcore,175.02666666666667,0.85,0.00041984158812913573,0.9633333333333334,0.34285714285714286,1.7595748947262884,True,0.37142857142857144,0.4113658871029176,13,3,35,False
Full-18,rf,5fold,3,realtime_alert,ali,175.02666666666667,0.71,0.0010840685783035894,0.8966666666666666,0.0,1.8949268097052336,True,0.08571428571428572,2.056829435514588,3,15,35,False
Full-18,rf,5fold,4,medication_titration,szcore,177.31555555555556,0.51,0.00023469702081469203,0.9233333333333333,0.0,4.435773693397679,True,0.2,0.40605574493683577,7,3,35,False
Full-18,rf,5fold,4,medication_titration,ali,177.31555555555556,0.33,0.0025376615375588578,0.58,0.0,3.8020917371980105,True,0.0,6.361540004010427,0,47,35,False
Full-18,rf,5fold,4,realtime_alert,szcore,177.31555555555556,0.63,8.801138280550951e-05,0.9733333333333334,0.0,1.9010458685990053,True,0.17142857142857143,0.0,6,0,35,False
Full-18,rf,5fold,4,realtime_alert,ali,177.31555555555556,0.36,0.001804233347512945,0.6266666666666667,0.0,1.584204890499171,True,0.0,4.060557449368358,0,30,35,False
Full-18,rf,loo,chb16,medication_titration,szcore,19.0,0.78,0.0013751099202672316,0.7033333333333334,0.6190476190476191,4.844164045301905,True,0.0,24.0,0,19,10,False
Full-18,rf,loo,chb16,medication_titration,ali,19.0,0.63,0.0034289221616964015,0.6566666666666666,0.5238095238095238,4.461730041725438,True,0.0,6.315789473684211,0,5,10,False
Full-18,rf,loo,chb16,realtime_alert,szcore,19.0,0.86,0.0008852638971677457,0.7333333333333333,0.6190476190476191,1.7846920166901752,True,0.0,15.157894736842106,0,12,10,False
Full-18,rf,loo,chb16,realtime_alert,ali,19.0,0.73,0.0018295453874800078,0.69,0.5238095238095238,1.9121700178823307,True,0.0,5.052631578947369,0,4,10,False
Full-18,rf,loo,chb10,medication_titration,szcore,48.022222222222226,0.76,0.0009339797065905928,0.9633333333333334,0.3,4.666086370885247,True,0.5714285714285714,0.0,4,0,7,False
Full-18,rf,loo,chb10,medication_titration,ali,48.022222222222226,0.66,0.0026748670508478884,0.7233333333333334,0.2,3.97989719869624,True,0.8571428571428571,0.9995372512725589,6,2,7,True
Full-18,rf,loo,chb10,realtime_alert,szcore,48.022222222222226,0.84,0.0005781779136037003,0.98,0.3,1.9213296821292194,True,0.5714285714285714,0.0,4,0,7,False
Full-18,rf,loo,chb10,realtime_alert,ali,48.022222222222226,0.72,0.0012453062754541238,0.93,0.2,1.784091847691418,True,0.5714285714285714,0.0,4,0,7,False
Full-18,rf,loo,chb01+21,medication_titration,szcore,72.38,0.85,0.0007380134318444595,0.47,0.22727272727272727,4.250957367424086,True,0.7,2.6526664824537165,7,8,10,True
Full-18,rf,loo,chb01+21,medication_titration,ali,72.38,0.7,0.003206258353902041,0.28,0.18181818181818182,4.605203814709427,True,0.3,5.305332964907433,3,16,10,False
Full-18,rf,loo,chb01+21,realtime_alert,szcore,72.38,0.9,0.0005248095515338379,0.53,0.22727272727272727,1.5941090127840325,True,0.4,0.9947499309201437,4,3,10,False
Full-18,rf,loo,chb01+21,realtime_alert,ali,72.38,0.76,0.001623629550057811,0.35,0.18181818181818182,1.948355460069373,True,0.1,3.6474164133738602,1,11,10,False
Full-18,rf,loo,chb09,medication_titration,szcore,67.86555555555556,0.78,0.000261697325235255,1.0,0.09523809523809523,4.710551854234589,True,1.0,0.0,4,0,4,True
Full-18,rf,loo,chb09,medication_titration,ali,67.86555555555556,0.65,0.002300755651026617,0.7566666666666667,0.0,4.47502426152286,True,1.0,2.8291229391443866,4,8,4,True
Full-18,rf,loo,chb09,realtime_alert,szcore,67.86555555555556,0.86,0.00011994460739949187,1.0,0.09523809523809523,1.8842207416938357,True,1.0,0.0,4,0,4,True
Full-18,rf,loo,chb09,realtime_alert,ali,67.86555555555556,0.72,0.00087232441745085,0.93,0.0,1.4131655562703769,True,0.5,1.060921102179145,2,3,4,False
Full-18,rf,loo,chb18,medication_titration,szcore,34.63333333333333,0.74,0.00028592191948915286,0.5733333333333334,0.08695652173913043,3.8599459131035636,True,0.0,6.236766121270453,0,9,6,False
