config,model,scheme,criterion,n_subjects,n_hours,n_events_ref,macro_sensitivity,micro_sensitivity,micro_fa_per_day,pct_subjects_meeting_criterion,window_precision,window_recall,window_f1,window_specificity,window_tp,window_fp,window_tn,window_fn
Best-2,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-2,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-2,lr,5fold,medication_titration,23,944.87,183,0.043478260869565216,0.02185792349726776,10.718884460839593,0.0,0.06535025858015985,0.10072463768115943,0.07927003136583974,0.9953092574917977,278,3976,843651,2482
Best-2,mlp,5fold,medication_titration,23,944.87,183,0.10859213250517598,0.07650273224043716,21.158366720093323,4.3478260869565215,0.05896493212669683,0.15108695652173912,0.08482506102522376,0.9921486691669803,417,6655,840972,2343
Best-2,rf,5fold,medication_titration,23,944.87,183,0.08198757763975155,0.04918032786885246,4.038631822922975,0.0,0.17784401390958768,0.12971014492753624,0.15001047559187095,0.998047490228603,358,1655,845972,2402
Best-2,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-2,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-2,lr,5fold,realtime_alert,23,944.87,183,0.043478260869565216,0.02185792349726776,8.636068049017682,0.0,0.06539735099337748,0.08586956521739131,0.07424812030075188,0.9960041386128569,237,3387,844240,2523
Best-2,mlp,5fold,realtime_alert,23,944.87,183,0.07919254658385093,0.060109289617486336,19.558154111010634,0.0,0.05069054484747306,0.12101449275362319,0.0714514921381966,0.9926205748519101,334,6255,841372,2426
Best-2,rf,5fold,realtime_alert,23,944.87,183,0.05217391304347826,0.0273224043715847,1.9304152109568937,0.0,0.22448979591836735,0.07971014492753623,0.11764705882352941,0.9991033791986333,220,760,846867,2540
Best-4,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,283.44083340878916,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
