config,model,scheme,criterion,n_subjects,n_hours,n_events_ref,macro_sensitivity,micro_sensitivity,micro_fa_per_day,pct_subjects_meeting_criterion,window_precision,window_recall,window_f1,window_specificity,window_tp,window_fp,window_tn,window_fn
Best-2,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-2,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-2,lr,5fold,medication_titration,23,944.87,183,0.32801932367149755,0.1912568306010929,9.880677856081995,4.3478260869565215,0.05246468722974921,0.06594202898550725,0.05843634612297319,0.9961221150340893,182,3287,844340,2578
Best-2,mlp,5fold,medication_titration,23,944.87,183,0.4814958592132505,0.3224043715846995,25.67960234575552,26.08695652173913,0.04437127626215114,0.10253623188405797,0.06193915517618735,0.992809337125882,283,6095,841532,2477
Best-2,rf,5fold,medication_titration,23,944.87,183,0.39189958592132507,0.22950819672131148,9.093271651612737,17.391304347826086,0.20209424083769634,0.06992753623188405,0.10390309555854642,0.9991010196702087,193,762,846865,2567
Best-2,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-2,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-2,lr,5fold,realtime_alert,23,944.87,183,0.30529100529100534,0.16939890710382513,8.432866447864326,4.3478260869565215,0.050878255602665054,0.06086956521739131,0.055427251732101626,0.996302618958575,168,3134,844493,2592
Best-2,mlp,5fold,realtime_alert,23,944.87,183,0.46700310559006214,0.31693989071038253,25.5272011448905,17.391304347826086,0.04388172381251966,0.10108695652173913,0.061197631059442856,0.9928282133532792,279,6079,841548,2481
Best-2,rf,5fold,realtime_alert,23,944.87,183,0.26953933747412007,0.15300546448087432,6.400850436330753,4.3478260869565215,0.15182481751824817,0.03768115942028986,0.06037735849056604,0.9993145569926395,104,581,847046,2656
Best-4,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-4,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-4,lr,5fold,medication_titration,23,944.87,183,0.21480331262939956,0.12568306010928962,13.512906476698255,4.3478260869565215,0.1005464480874317,0.1,0.10027247956403271,0.9970871621597708,276,2469,845158,2484
Best-4,mlp,5fold,medication_titration,23,944.87,183,0.5009834368530021,0.32786885245901637,35.763481802990874,17.391304347826086,0.037738972109575435,0.16521739130434782,0.06144310449370073,0.9862828815033028,456,11627,836000,2304
Best-4,rf,5fold,medication_titration,23,944.87,183,0.3495341614906832,0.20765027322404372,5.9944472340240385,17.391304347826086,0.37279151943462896,0.07644927536231884,0.12687913409500903,0.9995811837046248,211,355,847272,2549
Best-4,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-4,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-4,lr,5fold,realtime_alert,23,944.87,183,0.21480331262939956,0.12568306010928962,13.512906476698255,4.3478260869565215,0.1005464480874317,0.1,0.10027247956403271,0.9970871621597708,276,2469,845158,2484
Best-4,mlp,5fold,realtime_alert,23,944.87,183,0.5009834368530021,0.32786885245901637,35.763481802990874,8.695652173913043,0.037738972109575435,0.16521739130434782,0.06144310449370073,0.9862828815033028,456,11627,836000,2304
Best-4,rf,5fold,realtime_alert,23,944.87,183,0.2768374741200828,0.16939890710382513,3.65762882076043,13.043478260869565,0.375,0.04565217391304348,0.0813953488372093,0.9997522495154119,126,210,847417,2634
Best-7,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-7,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-7,lr,5fold,medication_titration,23,944.87,183,0.43852657004830914,0.26229508196721313,25.959004547341387,8.695652173913043,0.06350386674598453,0.15471014492753624,0.09004639392661323,0.9925710247549925,427,6297,841330,2333
Best-7,mlp,5fold,medication_titration,23,944.87,183,0.6723084886128364,0.5737704918032787,54.17862690751387,8.695652173913043,0.03313191315034822,0.23442028985507246,0.05805814788226848,0.9777248719071007,647,18881,828746,2113
Best-7,rf,5fold,medication_titration,23,944.87,183,0.3425983436853002,0.22404371584699453,4.521235625662198,17.391304347826086,0.4653679653679654,0.07789855072463768,0.1334574798261949,0.9997085982395558,215,247,847380,2545
Best-7,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Best-7,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Best-7,lr,5fold,realtime_alert,23,944.87,183,0.43852657004830914,0.26229508196721313,25.959004547341387,4.3478260869565215,0.06350386674598453,0.15471014492753624,0.09004639392661323,0.9925710247549925,427,6297,841330,2333
Best-7,mlp,5fold,realtime_alert,23,944.87,183,0.6723084886128364,0.5737704918032787,54.17862690751387,8.695652173913043,0.03313191315034822,0.23442028985507246,0.05805814788226848,0.9777248719071007,647,18881,828746,2113
Best-7,rf,5fold,realtime_alert,23,944.87,183,0.30636645962732917,0.19672131147540983,3.65762882076043,17.391304347826086,0.4108761329305136,0.04927536231884058,0.08799741184082821,0.9997699459785967,136,195,847432,2624
Full-18,baseline_always_seizure,5fold,medication_titration,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_always_seizure,loo,medication_titration,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_never_seizure,5fold,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Full-18,baseline_never_seizure,loo,medication_titration,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Full-18,lr,5fold,medication_titration,23,944.87,183,0.5507073844030366,0.41530054644808745,41.80872943730325,8.695652173913043,0.04632152588555858,0.16630434782608697,0.07246033625384797,0.9888512281935332,459,9450,838177,2301
Full-18,lr,loo,medication_titration,23,944.87,183,0.567167011732229,0.43169398907103823,32.74085798583469,8.695652173913043,0.08048005647723261,0.16521739130434782,0.10823641110847376,0.9938534284537892,456,5210,842417,2304
Full-18,mlp,5fold,medication_titration,23,944.87,183,0.7461438923395446,0.6666666666666666,56.71864692193084,17.391304347826086,0.046858500527983106,0.2572463768115942,0.07927646270656542,0.9829618452456093,710,14442,833185,2050
Full-18,mlp,loo,medication_titration,23,944.87,183,0.8222624798711756,0.7377049180327869,94.9967485391945,8.695652173913043,0.04542525773195876,0.2554347826086957,0.07713347921225382,0.9825217931944121,705,14815,832812,2055
Full-18,rf,5fold,medication_titration,23,944.87,183,0.38195307108350585,0.23497267759562843,4.140232623499654,26.08695652173913,0.46747967479674796,0.08333333333333333,0.14145141451414514,0.999690901776371,230,262,847365,2530
Full-18,rf,loo,medication_titration,23,944.87,183,0.5423654244306418,0.366120218579235,6.781853438493298,34.78260869565217,0.5095785440613027,0.14456521739130435,0.2252328535139712,0.9995469705424673,399,384,847243,2361
Full-18,baseline_always_seizure,5fold,realtime_alert,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_always_seizure,loo,realtime_alert,23,944.87,183,1.0,1.0,282.52642620359904,0.0,0.003245581129532789,1.0,0.006470162820709677,0.0,2760,847627,0,0
Full-18,baseline_never_seizure,5fold,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
Full-18,baseline_never_seizure,loo,realtime_alert,23,944.87,183,0.0,0.0,0.0,0.0,,0.0,,1.0,0,0,847627,2760
