config,family,tier,n_channels,electrodes_mean,electrodes_min,electrodes_max,criterion,n_subjects_5fold,pct_met_5fold,n_subjects_loo,pct_met_loo,n_windows_auc,n_positive_auc,auc_roc,auc_pr
Best-2,Best-n,A,2,3.2,3,4,medication_titration,23,17.391304347826086,,,850387,2760,0.7202243929057324,0.028994930993420542
Glass-2,Glass-n,A,2,4.0,4,4,medication_titration,23,21.73913043478261,23.0,21.73913043478261,850907,2760,0.7511825229127376,0.030459091944118666
Best-4,Best-n,A,4,6.6,6,7,medication_titration,23,17.391304347826086,,,850387,2760,0.7889739914225671,0.0504285878127303
Glass-4,Glass-n,A,4,6.0,6,6,medication_titration,23,21.73913043478261,,,850387,2760,0.7736067221887641,0.05286838924788796
Best-7,Best-n,A,7,10.8,10,12,medication_titration,23,17.391304347826086,,,850387,2760,0.8090845821778698,0.061887027703683734
Glass-7,Glass-n,B,7,8.0,8,8,medication_titration,23,21.73913043478261,23.0,39.130434782608695,825185,2731,0.8094724856857878,0.20963166557104826
Full-18,Full-18,A,18,19.0,19,19,medication_titration,23,26.08695652173913,23.0,34.78260869565217,850387,2760,0.8254472584442607,0.08078115584611323
Best-2,Best-n,A,2,3.2,3,4,realtime_alert,23,4.3478260869565215,,,850387,2760,0.7202243929057324,0.028994930993420542
Glass-2,Glass-n,A,2,4.0,4,4,realtime_alert,23,8.695652173913043,23.0,8.695652173913043,850907,2760,0.7511825229127376,0.030459091944118666
Best-4,Best-n,A,4,6.6,6,7,realtime_alert,23,13.043478260869565,,,850387,2760,0.7889739914225671,0.0504285878127303
Glass-4,Glass-n,A,4,6.0,6,6,realtime_alert,23,4.3478260869565215,,,850387,2760,0.7736067221887641,0.05286838924788796
Best-7,Best-n,A,7,10.8,10,12,realtime_alert,23,17.391304347826086,,,850387,2760,0.8090845821778698,0.061887027703683734
Glass-7,Glass-n,B,7,8.0,8,8,realtime_alert,23,30.43478260869565,23.0,30.43478260869565,825185,2731,0.8094724856857878,0.20963166557104826
Full-18,Full-18,A,18,19.0,19,19,realtime_alert,23,17.391304347826086,23.0,17.391304347826086,850387,2760,0.8254472584442607,0.08078115584611323
