config,model,scheme,criterion,rule,n_subjects,n_hours,n_events_ref,macro_sensitivity,micro_sensitivity,micro_fa_per_day,pct_subjects_meeting_criterion
Best-2,rf,5fold,medication_titration,ali,23,944.87,183,0.0819875776397515,0.0491803278688524,4.038631822922975,0.0
Best-2,rf,5fold,medication_titration,szcore,23,944.87,183,0.391899585921325,0.2295081967213114,9.093271651612737,17.391304347826086
Best-2,rf,5fold,realtime_alert,ali,23,944.87,183,0.0521739130434782,0.0273224043715847,1.9304152109568935,0.0
Best-2,rf,5fold,realtime_alert,szcore,23,944.87,183,0.26953933747412,0.1530054644808743,6.400850436330753,4.3478260869565215
Best-4,rf,5fold,medication_titration,ali,23,944.87,183,0.1381211180124223,0.081967213114754,4.470435225373859,8.695652173913043
Best-4,rf,5fold,medication_titration,szcore,23,944.87,183,0.3495341614906832,0.2076502732240437,5.994447234024039,17.391304347826086
Best-4,rf,5fold,realtime_alert,ali,23,944.87,183,0.0583850931677018,0.0327868852459016,2.0828164118219115,0.0
Best-4,rf,5fold,realtime_alert,szcore,23,944.87,183,0.2768374741200828,0.1693989071038251,3.65762882076043,13.043478260869565
Best-7,rf,5fold,medication_titration,ali,23,944.87,183,0.111620082815735,0.0710382513661202,4.495835425518028,0.0
Best-7,rf,5fold,medication_titration,szcore,23,944.87,183,0.3425983436853002,0.2240437158469945,4.521235625662198,17.391304347826086
Best-7,rf,5fold,realtime_alert,ali,23,944.87,183,0.0611024844720496,0.0382513661202185,1.9558154111010635,0.0
Best-7,rf,5fold,realtime_alert,szcore,23,944.87,183,0.3063664596273291,0.1967213114754098,3.65762882076043,17.391304347826086
Full-18,rf,5fold,medication_titration,ali,23,944.87,183,0.1174171842650103,0.0710382513661202,4.318034024508841,4.3478260869565215
Full-18,rf,5fold,medication_titration,szcore,23,944.87,183,0.3819530710835058,0.2349726775956284,4.140232623499654,26.08695652173913
Full-18,rf,5fold,realtime_alert,ali,23,944.87,183,0.0670807453416149,0.0382513661202185,2.006615811389403,0.0
Full-18,rf,5fold,realtime_alert,szcore,23,944.87,183,0.2854037267080745,0.1693989071038251,1.7526138099477062,17.391304347826086
Full-18,rf,loo,medication_titration,ali,23,944.87,183,0.2245082815734989,0.1366120218579235,4.089432223211315,13.043478260869565
Full-18,rf,loo,medication_titration,szcore,23,944.87,183,0.5423654244306418,0.366120218579235,6.781853438493298,34.78260869565217
Full-18,rf,loo,realtime_alert,ali,23,944.87,183,0.1116200828157349,0.0601092896174863,2.006615811389403,0.0
Full-18,rf,loo,realtime_alert,szcore,23,944.87,183,0.4917701863354037,0.3060109289617486,3.987831422634636,17.391304347826086
Glass-2,rf,5fold,medication_titration,ali,23,945.45,183,0.0683229813664596,0.0437158469945355,4.416933930500044,0.0
Glass-2,rf,5fold,medication_titration,szcore,23,945.45,183,0.3915919024614677,0.3169398907103825,6.396938795896614,21.73913043478261
Glass-2,rf,5fold,realtime_alert,ali,23,945.45,183,0.0341614906832298,0.0218579234972677,1.218464532551736,0.0
Glass-2,rf,5fold,realtime_alert,szcore,23,945.45,183,0.3324591672417759,0.2568306010928962,4.772319419160966,8.695652173913043
Glass-2,rf,loo,medication_titration,ali,23,945.45,183,0.1424689440993788,0.0928961748633879,5.051550874537406,4.3478260869565215
Glass-2,rf,loo,medication_titration,szcore,23,945.45,183,0.3918737060041408,0.273224043715847,6.473092829181097,21.73913043478261
Glass-2,rf,loo,realtime_alert,ali,23,945.45,183,0.0322981366459627,0.0218579234972677,2.183082287488527,0.0
Glass-2,rf,loo,realtime_alert,szcore,23,945.45,183,0.2998188405797101,0.2021857923497267,4.137702475123604,8.695652173913043
Glass-4,rf,5fold,medication_titration,ali,23,944.87,183,0.075595238095238,0.0437158469945355,4.292633824364671,0.0
Glass-4,rf,5fold,medication_titration,szcore,23,944.87,183,0.3777950310559007,0.2404371584699453,5.283241629987288,21.73913043478261
Glass-4,rf,5fold,realtime_alert,ali,23,944.87,183,0.0244565217391304,0.0163934426229508,1.6002126090826885,0.0
Glass-4,rf,5fold,realtime_alert,szcore,23,944.87,183,0.3239648033126294,0.1967213114754098,3.2004252181653765,4.3478260869565215
Glass-7,rf,5fold,medication_titration,ali,23,916.87,179,0.2811335403726708,0.1955307262569832,6.203699776413774,8.695652173913043
Glass-7,rf,5fold,medication_titration,szcore,23,916.87,179,0.5452380952380952,0.3854748603351955,5.601652962668977,21.73913043478261
Glass-7,rf,5fold,realtime_alert,ali,23,916.87,179,0.1535455486542443,0.1005586592178771,2.355835358131813,4.3478260869565215
Glass-7,rf,5fold,realtime_alert,szcore,23,916.87,179,0.4657349896480331,0.329608938547486,2.015548028623884,30.43478260869565
Glass-7,rf,loo,medication_titration,ali,23,916.87,179,0.251371635610766,0.1508379888268156,4.868726406805746,13.043478260869565
Glass-7,rf,loo,medication_titration,szcore,23,916.87,179,0.596195652173913,0.4245810055865922,6.858098487005944,39.130434782608695
Glass-7,rf,loo,realtime_alert,ali,23,916.87,179,0.1299171842650103,0.0726256983240223,2.486715100250247,0.0
Glass-7,rf,loo,realtime_alert,szcore,23,916.87,179,0.5240424430641822,0.3463687150837989,4.319031489908324,30.43478260869565
