threshold,recorded_hours,tp_szcore,fp_szcore,ref_true_szcore,sens_szcore,fa_per_day_szcore,tp_ali,fp_ali,ref_true_ali,sens_ali,fa_per_day_ali,config,n_subjects
0.0005,944.8744444444444,183,11135,183,1.0,282.8312286053291,183,16014,183,1.0,406.7588051087328,Full-18,23
0.00075,944.8744444444444,183,11135,183,1.0,282.8312286053291,183,16014,183,1.0,406.7588051087328,Full-18,23
0.00113,944.8744444444444,183,11135,183,1.0,282.8312286053291,183,16014,183,1.0,406.7588051087328,Full-18,23
0.00171,944.8744444444444,183,11135,183,1.0,282.8312286053291,183,16014,183,1.0,406.7588051087328,Full-18,23
0.00258,944.8744444444444,183,11135,183,1.0,282.8312286053291,183,16014,183,1.0,406.7588051087328,Full-18,23
0.00388,944.8744444444444,183,11218,183,1.0,284.9394452172952,182,18270,183,0.994535519125683,464.06165663397957,Full-18,23
0.00585,944.8744444444444,183,11218,183,1.0,284.9394452172952,182,18270,183,0.994535519125683,464.06165663397957,Full-18,23
0.00881,944.8744444444444,183,11265,183,1.0,286.1332546240711,181,19573,183,0.9890710382513661,497.1581174218326,Full-18,23
0.01327,944.8744444444444,183,11269,183,1.0,286.23485542464783,181,20315,183,0.9890710382513661,516.0050659288065,Full-18,23
0.02,944.8744444444444,183,11168,183,1.0,283.6694352100867,180,21193,183,0.9836065573770492,538.3064416553875,Full-18,23
0.05111,944.8744444444444,182,10833,183,0.994535519125683,275.16036816178985,170,17842,183,0.9289617486338798,453.190370972275,Full-18,23
0.08222,944.8744444444444,181,9953,183,0.9890710382513661,252.80819203492058,154,13930,183,0.8415300546448088,353.8247880082833,Full-18,23
0.11333,944.8744444444444,180,8700,183,0.9836065573770492,220.981741254276,122,11111,183,0.6666666666666666,282.22162380186904,Full-18,23
0.14444,944.8744444444444,172,7387,183,0.9398907103825137,187.63127846498122,99,9091,183,0.5409836065573771,230.91321951064631,Full-18,23
0.17556,944.8744444444444,161,6290,183,0.8797814207650273,159.76725890682712,88,7739,183,0.4808743169398907,196.57214891572895,Full-18,23
0.20667,944.8744444444444,156,5208,183,0.8524590163934426,132.28424235083557,80,6598,183,0.4371584699453552,167.59052055123138,Full-18,23
0.23778,944.8744444444444,144,4474,183,0.7868852459016393,113.64049544501503,70,5841,183,0.3825136612021858,148.36256904209495,Full-18,23
0.26889,944.8744444444444,132,3861,183,0.7213114754098361,98.07017275663904,63,5237,183,0.3442622950819672,133.02084815501647,Full-18,23
0.3,944.8744444444444,125,3466,183,0.6830601092896175,88.03709369969202,58,4740,183,0.31693989071038253,120.39694868336416,Full-18,23
0.37143,944.8744444444444,104,2717,183,0.5683060109289617,69.01234379170894,42,3450,183,0.22950819672131148,87.6306904973853,Full-18,23
0.44286,944.8744444444444,88,2286,183,0.4808743169398907,58.06485752957183,34,2476,183,0.18579234972677597,62.89089555696406,Full-18,23
0.51429,944.8744444444444,81,1861,183,0.4426229508196721,47.26977246829973,30,1970,183,0.16393442622950818,50.03839428401422,Full-18,23
0.58571,944.8744444444444,68,1461,183,0.37158469945355194,37.109692410631865,25,1887,183,0.1366120218579235,47.93017767204814,Full-18,23
0.65714,944.8744444444444,63,1141,183,0.3442622950819672,28.981628364497574,20,1962,183,0.1092896174863388,49.835192682860864,Full-18,23
0.72857,944.8744444444444,57,894,183,0.3114754098360656,22.70777892888767,16,1563,183,0.08743169398907104,39.70051282533717,Full-18,23
0.8,944.8744444444444,55,700,183,0.3005464480874317,17.780140100918757,13,732,183,0.07103825136612021,18.592946505532186,Full-18,23
